공고제목,기업명,지원자수,25세이하,26세~30세,31세~35세,36세~40세,41세~45세,46세이상,남자,여자,고졸미만,고졸(예정),초대졸(예정),대졸(예정),석박사(예정),1800미만,1800~2200,2200~2600,2600~3000,3000~3400,3400~4000,4000이상,면접후결정
서비스 및 솔루션 개발 모집,㈜지센소프트,77,23,33,14,2,4,1,54,23,1,7,10,57,2,0,0,0,3,8,1,1,64
"디지털 의료기기 서비스기획자, 인허가(RA) 부문별 채용",㈜디지털팜,37,3,6,8,9,3,8,25,12,0,2,4,22,9,0,0,0,0,0,0,7,30
AI (인공지능) 객체 인지(Object Detection) `유경험자`만 지원 요망,㈜캐디안,41,9,17,6,1,3,5,34,7,1,2,2,19,17,1,0,0,0,0,1,5,34
삼성전자 반도체 물류자동화설비 유지보수 Engineer 모집,㈜씨앤에스,165,37,52,22,12,14,28,153,12,2,62,52,44,3,1,0,1,0,1,6,6,150
"[공연/전시 컬처커머스]풀스택 개발자 채용 - PHP, Laravel, Vue",㈜타임티켓,40,6,6,9,6,6,7,37,3,1,9,6,23,1,0,0,0,0,1,2,15,22
[경력] 안랩 보안 솔루션 엔지니어 채용 - 정규직 [일단 복지부터],엘앤에스정보기술㈜,34,2,12,9,5,3,3,30,4,0,2,7,22,3,0,0,1,0,1,0,6,26
"[신입,경력] 정보보호 관리적 Compliance 컨설팅 포지션 채용합니다.",갓루트(GOTROOT),38,10,10,7,4,1,6,28,10,0,3,3,27,5,0,0,0,0,1,2,0,35
[텔코웨어] 기술지원 경력사원 채용공고 - 대전사무소,텔코웨어㈜,26,1,7,3,3,5,7,26,0,0,1,8,15,2,0,0,0,0,0,0,5,21
백엔드 개발자(경력) 모집합니다.,㈜오픈웍스,54,8,24,9,6,2,5,49,5,1,6,5,34,8,0,0,0,1,2,1,4,46
[키노티시스템] 백엔드 개발자 분을 모십니다.,㈜키노티 시스템,108,21,56,18,4,0,9,88,20,1,18,19,68,2,0,0,0,2,7,3,7,89
[교육지대] 개발팀 back-end 개발자 (신입 및 경력직),교육지대㈜,493,138,244,73,13,11,14,320,173,1,11,23,435,23,1,0,0,2,17,18,26,429
[이트라이브] 6년차이상 웹개발자 및 PL급 웹개발자 정규직 모집,㈜이트라이브,36,7,3,1,6,6,13,32,4,1,4,7,20,4,0,0,0,1,0,0,6,29
데이터 엔지니어(경력) 채용,메이븐클라우드서비스㈜,27,4,3,2,2,5,11,21,6,1,0,3,18,5,0,0,0,0,0,0,3,24
풀스택 개발자를 모십니다.,㈜다비수디지탈,70,10,13,18,5,9,15,66,4,1,8,13,42,6,0,0,0,1,0,2,15,52
IT정보보안 담당자 (경력),모벤시스㈜,43,1,1,16,8,9,8,42,1,0,3,5,25,10,0,0,0,0,0,1,7,35
패션 플랫폼 React 프론트엔드 개발자,주식회사 페칭,53,10,14,16,3,5,5,38,15,1,4,10,33,5,0,0,0,0,0,0,9,44
2025년 정보보안 기술부문 신입/경력 사원 모집(나주),㈜에이바이트,34,5,15,8,1,3,2,27,7,0,4,8,21,1,0,0,0,0,2,0,1,31
네트워크 엔드포인트 보안 담당자,법무법인 린,33,5,13,8,3,2,2,30,3,0,2,4,23,4,1,0,0,0,0,0,3,29
PC/OA 엔지니어 직원모집 (송파구 방이동),세원아이엔씨㈜,57,5,10,6,9,16,11,54,3,0,15,15,24,3,0,1,1,1,5,4,1,44
[메가스터디그룹/메가엠디] 웹퍼블리셔(경력) 채용,메가MD㈜,147,7,42,38,22,27,11,70,77,0,17,57,69,3,0,0,0,0,0,7,30,110
JAVA 개발자 채용,㈜아이비즈소프트웨어,599,164,282,111,21,13,8,441,158,1,61,102,424,11,0,0,1,12,27,15,17,527
정보화 전략계획 수립 컨설팅- BPR ISP ISMP 수립,㈜넥서스젠,35,0,1,0,0,0,34,33,2,0,0,1,21,13,0,0,0,0,0,0,3,32
전산시스템 유지보수 (지역:진해),㈜아이티센엔텍,27,1,2,6,1,4,13,26,1,0,6,3,18,0,0,0,0,0,0,0,6,21
2. 기획/디자인/퍼블리셔/보험/카드/병원/증권/은행/SWA/DW/TA/SA/AA/DA/SA,토피아정보기술㈜,30,4,6,4,1,1,14,25,5,0,3,6,16,5,0,0,0,1,0,1,5,23
[티사이언티픽] 솔루션 엔진 개발자 채용,㈜티사이언티픽,41,4,11,4,2,8,12,32,9,1,0,7,27,6,0,0,0,0,0,1,9,31
"웹프로그래머모집(ASP및PHP가능자,앱업무,경력,재택근무)",㈜타이코콜렉션,51,3,6,5,4,11,22,44,7,0,9,10,28,4,1,0,0,0,0,0,10,40
웹(PHP)개발자 경력 모집,소프트랩스,50,8,5,6,7,10,14,43,7,1,11,8,26,4,0,0,0,1,0,2,8,39
시스템Engineer(클라우드/네트워크 운영),㈜휴머스온,65,3,31,16,6,5,4,55,10,0,4,7,47,7,0,0,0,0,2,0,5,58
연구소 신입 / 경력직 채용,동영기술㈜,44,7,11,3,3,3,17,38,6,1,1,13,24,5,0,0,1,0,1,1,6,35
건솔루션(주) S/W 개발자,건솔루션㈜,47,2,3,2,6,6,28,47,0,0,5,10,30,2,0,0,0,0,0,0,15,32
금융권 운영 Engineer,㈜휴머스온,33,4,10,13,1,1,4,27,6,0,1,1,29,2,0,0,0,0,1,1,7,24
서버 플랫폼 운영 관리,㈜듀플로,27,2,1,5,4,7,8,25,2,0,3,3,18,3,0,0,1,0,0,0,4,22
"응용SW개발자(JAVA,JSP, SQL) 경력",지엔소프트㈜,45,4,8,12,6,6,9,35,10,1,5,5,30,4,1,0,0,1,0,1,7,35
국책과제 및 개발업무 담당 정직원 채용,㈜브이원텍,32,12,12,2,2,1,3,25,7,1,0,3,23,5,0,0,0,0,1,1,4,26
[강남역] DXG ERP 개발 및 시스템 운영,㈜디엑스지,40,2,2,0,5,11,20,37,3,1,0,13,20,6,0,0,1,0,0,0,7,32
"인공지능 AI 개발(Computer Vison, Generative AI, Deep learning)",몰팩바이오,31,11,11,3,1,1,4,25,6,2,5,1,16,7,0,0,0,0,2,2,1,26
MLOps Engineer 채용,㈜에즈웰에이아이,75,21,29,16,2,2,5,59,16,1,3,12,49,10,0,0,1,0,2,3,5,64
IT 인프라 엔지니어 채용(팀원),㈜비즈비,74,7,33,18,7,5,4,59,15,1,10,11,49,3,0,0,0,0,2,0,4,68
주식회사 예가비즈 자바 풀스택 개발자 경력사원 채용,㈜예가비즈,63,7,18,20,7,5,6,52,11,1,7,9,43,3,0,0,0,1,0,1,10,51
(주) (신입/경력)웹개발(백엔드/프론트엔드)-동탄,애드펄스,45,11,18,6,2,3,5,37,8,1,4,6,33,1,0,0,0,3,3,1,3,35
[셀버스] FrontEnd/BackEnd 개발 및 유지보수 개발 모집,㈜셀버스,91,12,16,14,13,12,24,75,16,1,16,17,49,8,0,0,0,0,0,0,15,76
(주)투아이엠 Infra 운영/관리,㈜투아이엠,44,4,4,3,6,9,18,42,2,0,2,19,18,5,0,0,0,0,1,1,4,38
AI솔루션 컨설팅 및 엔지니어,반디에스앤씨㈜,41,4,20,8,2,4,3,27,14,1,0,3,22,15,0,0,0,0,2,1,3,35
[BANDI SNC] 엔드포인트 보안 엔지니어,반디에스앤씨㈜,40,16,16,6,0,1,1,28,12,0,2,6,30,2,0,0,0,0,2,2,0,36
[재택] 프론트엔드/모바일 개발자 채용,헤이링크㈜,97,11,33,37,5,5,6,65,32,1,4,13,71,8,1,0,0,0,1,1,14,80
[] 프론트엔드 웹 디자이너 모십니다.(신입환영),한청메디컬,84,28,30,19,4,3,0,44,40,0,12,22,46,4,1,0,1,5,3,6,2,66
"Powergen AI 인턴 : 차세대 AI Agent , RPA 혁신에 도전할 분을 찾습니다",㈜파워젠,74,26,31,12,2,2,1,52,22,1,4,17,48,4,0,0,0,0,4,0,2,68
(주)디에이치건설정보 웹프로그램 개발자 모집합니다,㈜디에이치건설정보,45,8,11,12,5,5,4,39,6,1,8,10,23,3,0,0,0,0,2,1,5,37
데이터 분석 및 BI 시각화 엔지니어 채용(경력),메이븐클라우드서비스㈜,28,4,8,7,0,2,7,20,8,1,1,3,18,5,0,0,0,0,0,0,4,24
(주)버블콘 프론트엔드 개발자 경력 채용,㈜버블콘,56,8,12,18,5,4,9,43,13,1,7,11,33,4,0,0,0,0,1,2,17,36
(주) (신입/경력)웹개발(백엔드/프론트엔드),애드펄스,115,23,53,24,6,3,6,86,29,1,11,13,87,3,0,0,0,3,9,3,9,91
웹 솔루션 개발자 채용공고,국제전산개발,32,14,6,1,2,4,5,28,4,1,5,3,16,7,0,0,0,0,1,0,3,28
웹 개발 PL급 개발자 채용,㈜레브히트,31,7,3,2,1,7,11,30,1,1,2,2,21,5,0,0,0,0,0,0,4,27
Nodejs 백엔드 개발자(계약직/프리랜서) 신입/경력 채용,씨아이랩스,40,10,13,5,2,4,6,33,7,1,4,8,23,4,0,0,0,0,1,1,2,36
IT개발팀 백엔드&서버개발 정규직 채용,블록스퀘어서울,72,12,35,14,1,3,7,52,20,1,12,14,44,1,0,0,0,1,4,2,4,61
안드로이드 개발자(경력),㈜고스트패스,29,0,5,8,8,4,4,27,2,1,1,6,19,2,0,0,0,0,0,0,6,23
Java 백엔드 개발자 (정규직),㈜비즈비,127,10,52,37,12,8,8,94,33,1,9,20,92,5,0,0,0,0,0,3,12,112
자바기반 로우코드 플랫폼 Mendix 개발자 채용,㈜뱅가드랩,39,6,16,13,2,0,2,32,7,1,2,6,30,0,0,0,0,0,1,0,2,36
[신입/경력] 정보통신 유지보수 및 사업관리 사원 모집,㈜휴메인텍,27,2,5,2,3,3,12,27,0,0,5,10,9,3,0,0,0,1,1,0,7,18
