uuid,job_category,jumpit_link_collection_time
57818499-19a8-4edb-84b9-836e14ad2c79,6,2025-09-09 05:33:43.532168+00
892c615d-0f02-468c-99cd-6143f3c04783,17,2025-09-09 05:38:53.095085+00
dabc58e2-d3dd-42ee-8710-5e63584cb015,1,2025-09-09 05:32:06.680068+00
ad3f481f-9631-44c0-a4a5-b4428ac7e3d2,7,2025-09-09 05:33:58.65675+00
97082462-6375-4300-8afc-ba7440fb9757,18,2025-09-09 05:39:06.153958+00
9fad60f9-4333-415a-95c5-9cc364488bf1,19,2025-09-09 05:39:28.588344+00
c9eb038a-a8de-42ae-857a-b81f784a5126,2,2025-09-09 05:32:41.982028+00
b6492e47-42c2-42dc-beab-5555e7a7fd3e,11,2025-09-09 05:35:58.034227+00
19de4181-2d24-405f-aa64-dd004508506a,12,2025-09-09 05:36:15.734991+00
7670d3af-fbf0-47dd-be58-7d3cfcdf1028,13,2025-09-09 05:37:02.985144+00
dab352ea-34c9-4167-b41a-1c1b4ed62564,15,2025-09-09 05:38:24.782329+00
f4f6086e-effb-4676-a79d-77c0c6d7eeba,16,2025-09-09 05:38:39.885651+00
e7810f6a-c696-411e-add3-b47abec24f21,3,2025-09-09 05:33:02.42372+00
15a3d95f-e060-4beb-b4b4-0a934db646e8,4,2025-09-09 05:33:18.06441+00
3be13af9-714e-420d-b5a9-9e3c2ed5282f,5,2025-09-09 05:33:30.854691+00
904abd29-2d5d-4c03-bc40-1ac84caf985f,20,2025-09-09 05:39:41.024397+00
c73a4997-7402-46c0-b3ed-7bee230ef032,21,2025-09-09 05:40:09.456673+00
9cf470c1-3cfd-43b2-97c5-706065680e15,22,2025-09-09 05:40:24.923375+00
983bbe21-42e5-4557-9cb6-ed2d78c17ab8,8,2025-09-09 05:34:42.033407+00
9742ee2b-0b8c-4638-bc3b-0f2a131c36cf,9,2025-09-09 05:35:23.680936+00
97c988db-677e-49c3-a520-b367f4f4230a,10,2025-09-09 05:35:42.253918+00
