id,user_id,skill,score,taken_at
1,c5f6aa98-a3b3-493f-b548-420ec4975e09,ABAP,16,2025-09-25 17:09:54.276+00
2,c5f6aa98-a3b3-493f-b548-420ec4975e09,AAC,14,2025-09-25 17:10:41.879+00
6,c5f6aa98-a3b3-493f-b548-420ec4975e09,AWS Amplify,15,2025-09-25 17:27:05.136+00
5,c5f6aa98-a3b3-493f-b548-420ec4975e09,3D Rendering,18,2025-09-25 17:27:31.858+00
8,c5f6aa98-a3b3-493f-b548-420ec4975e09,Amazon EC2,6,2025-09-25 17:35:07.683+00
3,c5f6aa98-a3b3-493f-b548-420ec4975e09,Airflow,10,2025-09-26 00:22:31.352+00
10,c5f6aa98-a3b3-493f-b548-420ec4975e09,C++,11,2025-09-26 05:57:25.409+00
11,6dd5a7e3-6c19-42d1-ab5c-1e224f257bd9,Python,14,2025-09-26 06:44:51.35+00
12,2e6ca345-1cfc-4b98-b07d-f3d4e52e5772,Azure Cosmos DB,71,2025-09-26 08:44:54.132+00
13,eef6ca8f-e94f-4592-ac5c-ae8c0b839f17,3D Rendering,11,2025-09-26 09:32:39.62+00
14,293b1f43-7183-4b9a-a416-4750ec83aae7,React,42,2025-09-27 03:31:22.549+00
16,293b1f43-7183-4b9a-a416-4750ec83aae7,GUI,42,2025-09-27 03:50:42.555+00
17,eef6ca8f-e94f-4592-ac5c-ae8c0b839f17,Linux,60,2025-09-27 05:36:40.418+00
19,2e6ca345-1cfc-4b98-b07d-f3d4e52e5772,Power BI,70,2025-09-27 05:58:53.08+00
20,2e6ca345-1cfc-4b98-b07d-f3d4e52e5772,Microsoft Office 365,69,2025-09-27 06:02:01.449+00
21,2e6ca345-1cfc-4b98-b07d-f3d4e52e5772,Azure Database for MySQL,66,2025-09-28 04:41:38.489+00
18,2e6ca345-1cfc-4b98-b07d-f3d4e52e5772,Azure SQL Database,83,2025-09-28 10:58:23.61+00
24,293b1f43-7183-4b9a-a416-4750ec83aae7,AAC,44,2025-09-28 14:30:21.434+00
15,293b1f43-7183-4b9a-a416-4750ec83aae7,AI/인공지능,69,2025-09-28 14:36:47.506+00
27,eef6ca8f-e94f-4592-ac5c-ae8c0b839f17,Python,26,2025-09-29 02:39:16.248+00
28,eef6ca8f-e94f-4592-ac5c-ae8c0b839f17,PyTorch,26,2025-09-29 02:40:14.965+00
23,2e6ca345-1cfc-4b98-b07d-f3d4e52e5772,AI/인공지능,82,2025-09-29 05:25:44.194+00
30,c5f6aa98-a3b3-493f-b548-420ec4975e09,Python,42,2025-09-29 06:47:53.136+00
